あおやぎ,青柳,Chinese mactra,バカ貝()
あかえび,赤海老,Red rice prawn,
あかがい,赤貝,Bloody clam,
あさり,蛤仔,Manila clam,
あじ,鯵,Japanese horse mackerel,
あなご,穴子,Whitespotted conger,
あまえび,甘海老,Alaskan pink shrimp,
あめのうお,,Biwa trout,
あゆ,鮎,Ayu,
あわび,鮑,Abalone,
あら,,Saw-edged perch,
あんきも,鮟肝,Monkfish liver,
あんこう,鮟鱇,Monkfish,
いか,烏賊,Squid,
いかげそ,下足,Squid arms,
いくら,鮭卵,Salmon roe,
いしもち,石持,White croaker,
いしだい,石鯛,Striped beakfish,
いしがきかい,石垣貝,Bering sea cockle,
いなり,稲荷,Seasoned fried,
いわし,鰯,Sardine,
うなぎ,鰻,Eel,
うに,,Sea urchin,
えび,海老,Shrimp,
おひょう,大鮃,Halibut,
かき,牡蠣,Oyster,
かつお,鰹,Skipjack tuna,
